Fix Time,Latitude,Longitude,Altitude,Speed,COG (deg),HDOP,VDOP,PDOP,Satellite Count,Time to Fix,Error,Nav. Type,Activity,Battery (V),Charge (V),Solar Current (mA),Temp (C)
2024-01-23T13:33:36.000Z,39.72301,-75.51186,31,0.02,0,1.04,1.51,1.83,12,16,0,3,525,3.837,1.739,20,26,
2024-01-23T14:03:57.000Z,39.72298,-75.51156,104,0.18,0,0.92,1.25,1.56,12,19,0,3,21,3.84,1.627,58,29,
2024-01-23T14:34:36.000Z,39.72401,-75.5124,65,0.03,0,1.21,2.02,2.36,12,37,0,3,140,3.839,1.196,27,32,
2024-01-23T15:04:20.000Z,39.72364,-75.51162,72,0.02,0,1.23,1.59,2,12,12,0,3,185,3.84,1.602,26,32,
2024-01-23T15:34:31.000Z,39.72386,-75.51195,37,0.31,0,0.8,1.14,1.43,12,9,0,3,2,3.841,1.408,8,33,
2024-01-23T16:04:54.000Z,39.72152,-75.51145,23,0.06,0,1.07,1.47,1.81,12,11,0,3,449,3.836,0.996,38,33,
2024-01-23T16:35:10.000Z,39.72441,-75.51096,0,0.09,0,1.57,1.94,2.5,12,14,0,3,790,3.839,1.754,83,29,
2024-01-23T17:05:52.000Z,39.72333,-75.51205,33,0.05,0,0.91,1.48,1.73,12,40,0,3,93,3.84,1.467,30,33,
2024-01-23T17:35:38.000Z,39.72321,-75.51211,-25,0.35,0,0.92,1.73,1.96,11,14,0,3,20,3.837,1.557,31,34,
2024-01-23T18:06:06.000Z,39.72328,-75.51204,32,0.09,0,1.04,1.35,1.61,10,26,0,3,5,3.837,1.315,15,35,
2024-01-23T18:36:16.000Z,39.71194,-75.5118,-31,2.48,193,0.86,1.22,1.46,11,8,0,3,1352,3.837,1.754,107,24,
2024-01-23T19:06:26.000Z,39.7222,-75.51377,69,0.19,0,1.02,1.6,1.9,9,8,0,3,578,3.836,1.149,70,29,
2024-01-23T19:37:06.000Z,39.72162,-75.51218,30,0.03,0,0.83,1.01,1.31,12,38,0,3,108,3.837,1.225,21,29,
2024-01-23T20:06:46.000Z,39.72046,-75.51125,16,0.11,0,1.04,1.34,1.7,12,8,0,3,778,3.836,1.025,23,29,
2024-01-23T20:36:56.000Z,39.72354,-75.51234,48,0.07,171,1.42,2.38,2.77,9,8,0,3,1535,3.837,1.643,57,28,
2024-01-23T21:07:09.000Z,39.72198,-75.51263,42,0.05,0,1.08,1.62,1.95,10,11,0,3,181,3.837,1.18,19,31,
2024-01-23T21:37:22.000Z,39.72364,-75.51253,56,0.01,0,1.01,1.45,1.77,10,11,0,3,379,3.837,1.201,16,28,
2024-01-23T22:08:12.000Z,39.71721,-75.52217,51,0.17,0,2.2,1.23,1.66,12,48,0,3,677,3.836,0.787,5,28,
2024-01-23T22:37:53.000Z,39.71736,-75.52113,23,0.02,0,1.1,1.11,1.57,12,9,0,3,334,3.834,0.001,0,29,
2024-01-23T23:08:09.000Z,39.69122,-75.52395,-111,1.24,313,3.18,1.44,2.45,11,14,0,3,270,3.833,0,0,28,
2024-01-23T23:38:51.000Z,39.69213,-75.52291,153,0.2,0,2.04,2.64,3.34,9,40,0,3,29,3.834,0.001,0,27,
2024-01-24T00:08:39.000Z,39.69066,-75.52392,60,0.12,0,1.33,1.47,1.98,8,16,0,3,33,3.833,0,0,29,
2024-01-24T00:39:05.000Z,39.69085,-75.52324,49,0.16,0,1.21,1.82,2.19,11,24,0,3,2,3.833,0.002,0,29,
2024-01-24T01:09:36.000Z,39.69093,-75.52352,-10,0.03,0,1.52,1.43,2.09,11,29,0,3,0,3.831,0.003,0,29,
